,gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
0,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:18:00+08:00,Interval.MINUTE,0.92041,0,0,108741.71,108741.71,108740.15,108740.15,BTCUSDT.BINANCE
1,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:19:00+08:00,Interval.MINUTE,5.56694,0,0,108740.16,108769.3,108740.15,108769.3,BTCUSDT.BINANCE
2,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:20:00+08:00,Interval.MINUTE,0.19891,0,0,108769.3,108769.3,108769.29,108769.3,BTCUSDT.BINANCE
3,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:21:00+08:00,Interval.MINUTE,1.43955,0,0,108769.3,108769.3,108753.92,108753.92,BTCUSDT.BINANCE
4,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:22:00+08:00,Interval.MINUTE,0.94639,0,0,108753.93,108753.93,108736.5,108736.5,BTCUSDT.BINANCE
5,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:23:00+08:00,Interval.MINUTE,7.36482,0,0,108736.5,108736.51,108650.0,108650.01,BTCUSDT.BINANCE
6,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:24:00+08:00,Interval.MINUTE,2.01053,0,0,108650.01,108680.0,108650.0,108680.0,BTCUSDT.BINANCE
7,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:25:00+08:00,Interval.MINUTE,1.29403,0,0,108679.99,108740.0,108679.99,108740.0,BTCUSDT.BINANCE
8,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:26:00+08:00,Interval.MINUTE,5.68632,0,0,108739.99,108760.0,108739.99,108760.0,BTCUSDT.BINANCE
9,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:27:00+08:00,Interval.MINUTE,2.91982,0,0,108760.0,108808.37,108759.99,108808.37,BTCUSDT.BINANCE
10,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:28:00+08:00,Interval.MINUTE,0.53855,0,0,108808.37,108808.37,108808.36,108808.37,BTCUSDT.BINANCE
11,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:29:00+08:00,Interval.MINUTE,2.69048,0,0,108808.36,108808.37,108808.36,108808.36,BTCUSDT.BINANCE
12,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:30:00+08:00,Interval.MINUTE,2.10124,0,0,108808.36,108832.46,108808.36,108832.45,BTCUSDT.BINANCE
13,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:31:00+08:00,Interval.MINUTE,6.13295,0,0,108832.45,108832.46,108818.01,108818.01,BTCUSDT.BINANCE
14,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:32:00+08:00,Interval.MINUTE,2.46619,0,0,108818.01,108818.02,108799.99,108799.99,BTCUSDT.BINANCE
15,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:33:00+08:00,Interval.MINUTE,1.11908,0,0,108800.0,108800.0,108799.99,108800.0,BTCUSDT.BINANCE
16,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:34:00+08:00,Interval.MINUTE,2.59099,0,0,108800.0,108819.99,108799.99,108819.99,BTCUSDT.BINANCE
17,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:35:00+08:00,Interval.MINUTE,3.58509,0,0,108820.0,108839.07,108820.0,108839.07,BTCUSDT.BINANCE
18,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:36:00+08:00,Interval.MINUTE,0.8885,0,0,108839.07,108839.07,108839.06,108839.06,BTCUSDT.BINANCE
19,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:37:00+08:00,Interval.MINUTE,0.58751,0,0,108839.06,108839.07,108839.06,108839.07,BTCUSDT.BINANCE
20,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:38:00+08:00,Interval.MINUTE,0.29879,0,0,108839.07,108839.07,108839.06,108839.07,BTCUSDT.BINANCE
21,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:39:00+08:00,Interval.MINUTE,1.25207,0,0,108839.07,108844.67,108839.06,108844.66,BTCUSDT.BINANCE
22,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:40:00+08:00,Interval.MINUTE,0.47873,0,0,108844.67,108844.67,108844.66,108844.67,BTCUSDT.BINANCE
23,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:41:00+08:00,Interval.MINUTE,0.35762,0,0,108844.67,108844.67,108844.66,108844.66,BTCUSDT.BINANCE
24,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:42:00+08:00,Interval.MINUTE,0.73071,0,0,108844.67,108844.67,108844.66,108844.67,BTCUSDT.BINANCE
25,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:43:00+08:00,Interval.MINUTE,0.22883,0,0,108844.67,108844.67,108844.66,108844.66,BTCUSDT.BINANCE
26,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:44:00+08:00,Interval.MINUTE,2.69397,0,0,108844.66,108879.02,108844.66,108879.02,BTCUSDT.BINANCE
27,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:45:00+08:00,Interval.MINUTE,5.43085,0,0,108879.02,108900.0,108870.56,108870.56,BTCUSDT.BINANCE
28,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:46:00+08:00,Interval.MINUTE,1.32456,0,0,108870.57,108870.57,108820.0,108820.01,BTCUSDT.BINANCE
29,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:47:00+08:00,Interval.MINUTE,2.14022,0,0,108820.0,108820.01,108778.58,108778.58,BTCUSDT.BINANCE
30,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 03:48:00+08:00,Interval.MINUTE,3.05456,0,0,108778.59,108805.21,108778.58,108790.91,BTCUSDT.BINANCE
