gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:00:00+08:00,Interval.MINUTE,21.42222,0,0,118306.18,118351.0,118306.18,118351.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:01:00+08:00,Interval.MINUTE,38.27312,0,0,118350.99,118361.0,118312.13,118312.14,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:02:00+08:00,Interval.MINUTE,5.95271,0,0,118312.14,118334.68,118312.13,118312.14,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:03:00+08:00,Interval.MINUTE,16.05438,0,0,118312.14,118327.17,118274.74,118327.16,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:04:00+08:00,Interval.MINUTE,6.29602,0,0,118327.16,118331.94,118303.49,118303.49,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:05:00+08:00,Interval.MINUTE,15.80815,0,0,118303.5,118322.87,118260.0,118316.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:06:00+08:00,Interval.MINUTE,26.86258,0,0,118316.0,118371.0,118316.0,118370.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:07:00+08:00,Interval.MINUTE,9.83811,0,0,118371.0,118371.0,118335.47,118363.07,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:08:00+08:00,Interval.MINUTE,38.98892,0,0,118363.06,118425.22,118336.67,118336.68,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:09:00+08:00,Interval.MINUTE,25.46769,0,0,118336.67,118336.68,118242.39,118246.59,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:10:00+08:00,Interval.MINUTE,6.30429,0,0,118246.6,118276.54,118242.39,118242.39,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:11:00+08:00,Interval.MINUTE,2.79509,0,0,118242.4,118319.99,118242.39,118319.98,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:12:00+08:00,Interval.MINUTE,5.56726,0,0,118319.99,118343.08,118293.61,118343.07,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:13:00+08:00,Interval.MINUTE,9.82973,0,0,118343.07,118396.47,118343.07,118381.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:14:00+08:00,Interval.MINUTE,3.6263,0,0,118381.02,118381.02,118311.15,118348.22,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:15:00+08:00,Interval.MINUTE,3.25366,0,0,118348.22,118416.49,118348.21,118416.49,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:16:00+08:00,Interval.MINUTE,10.98542,0,0,118416.48,118450.0,118416.48,118420.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:17:00+08:00,Interval.MINUTE,4.10707,0,0,118420.0,118437.0,118388.68,118437.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:18:00+08:00,Interval.MINUTE,5.60766,0,0,118437.0,118437.77,118414.35,118435.85,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:19:00+08:00,Interval.MINUTE,2.33862,0,0,118435.84,118435.85,118435.84,118435.84,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:20:00+08:00,Interval.MINUTE,9.53436,0,0,118435.85,118435.85,118389.58,118389.58,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:21:00+08:00,Interval.MINUTE,4.4997,0,0,118389.58,118435.69,118389.58,118435.68,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:22:00+08:00,Interval.MINUTE,6.2643,0,0,118435.68,118485.0,118435.68,118484.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:23:00+08:00,Interval.MINUTE,3.67255,0,0,118485.0,118485.0,118449.99,118472.56,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:24:00+08:00,Interval.MINUTE,9.50801,0,0,118472.57,118472.57,118449.99,118450.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:25:00+08:00,Interval.MINUTE,11.03736,0,0,118450.01,118457.98,118380.8,118394.4,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:26:00+08:00,Interval.MINUTE,1.90323,0,0,118394.39,118454.35,118394.39,118454.34,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:27:00+08:00,Interval.MINUTE,2.01818,0,0,118454.35,118485.0,118454.34,118484.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:28:00+08:00,Interval.MINUTE,7.30637,0,0,118485.0,118541.15,118484.99,118541.15,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:29:00+08:00,Interval.MINUTE,5.21863,0,0,118541.15,118543.12,118526.27,118543.11,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:30:00+08:00,Interval.MINUTE,8.4272,0,0,118543.12,118600.0,118543.11,118599.97,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:31:00+08:00,Interval.MINUTE,68.73747,0,0,118599.97,118674.49,118599.96,118671.85,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:32:00+08:00,Interval.MINUTE,73.84476,0,0,118671.85,118785.0,118671.85,118780.21,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:33:00+08:00,Interval.MINUTE,24.64178,0,0,118780.22,118800.0,118723.49,118769.37,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:34:00+08:00,Interval.MINUTE,14.27126,0,0,118769.38,118814.41,118769.37,118807.23,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:35:00+08:00,Interval.MINUTE,20.09549,0,0,118807.22,118865.47,118807.22,118861.03,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:36:00+08:00,Interval.MINUTE,33.85484,0,0,118861.03,118874.54,118852.67,118874.54,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:37:00+08:00,Interval.MINUTE,20.77202,0,0,118874.54,118879.14,118837.06,118864.49,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:38:00+08:00,Interval.MINUTE,61.21725,0,0,118864.49,118864.5,118724.73,118724.73,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:39:00+08:00,Interval.MINUTE,16.98769,0,0,118724.74,118736.37,118672.63,118726.54,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:40:00+08:00,Interval.MINUTE,26.26195,0,0,118726.55,118747.01,118645.09,118667.66,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:41:00+08:00,Interval.MINUTE,15.72899,0,0,118667.67,118667.67,118605.21,118660.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:42:00+08:00,Interval.MINUTE,20.50017,0,0,118660.0,118720.0,118652.82,118661.75,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:43:00+08:00,Interval.MINUTE,13.30324,0,0,118661.75,118661.75,118624.7,118643.58,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:44:00+08:00,Interval.MINUTE,22.34003,0,0,118643.59,118663.68,118628.85,118628.85,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:45:00+08:00,Interval.MINUTE,11.17532,0,0,118628.85,118663.67,118585.0,118585.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:46:00+08:00,Interval.MINUTE,10.75038,0,0,118585.0,118585.01,118476.87,118476.87,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:47:00+08:00,Interval.MINUTE,8.743,0,0,118476.88,118476.88,118442.01,118446.92,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:48:00+08:00,Interval.MINUTE,5.1084,0,0,118446.93,118470.38,118420.0,118420.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:49:00+08:00,Interval.MINUTE,5.4595,0,0,118420.01,118466.96,118405.0,118466.96,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:50:00+08:00,Interval.MINUTE,4.35812,0,0,118466.96,118500.0,118457.19,118499.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:51:00+08:00,Interval.MINUTE,10.16862,0,0,118500.0,118500.0,118417.21,118420.69,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:52:00+08:00,Interval.MINUTE,11.68329,0,0,118420.69,118497.91,118420.68,118480.49,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:53:00+08:00,Interval.MINUTE,6.90141,0,0,118480.49,118537.5,118480.49,118517.64,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:54:00+08:00,Interval.MINUTE,2.58306,0,0,118517.64,118563.3,118517.64,118563.3,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:55:00+08:00,Interval.MINUTE,5.96506,0,0,118563.29,118563.3,118518.89,118518.89,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:56:00+08:00,Interval.MINUTE,6.61327,0,0,118518.9,118518.9,118483.97,118483.97,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:57:00+08:00,Interval.MINUTE,16.0401,0,0,118483.98,118518.63,118483.97,118501.2,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:58:00+08:00,Interval.MINUTE,4.2921,0,0,118501.2,118510.0,118501.2,118509.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 00:59:00+08:00,Interval.MINUTE,5.15257,0,0,118510.0,118538.53,118509.99,118538.53,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:00:00+08:00,Interval.MINUTE,9.34089,0,0,118538.53,118557.71,118505.56,118505.57,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:01:00+08:00,Interval.MINUTE,7.62238,0,0,118505.56,118505.57,118420.0,118420.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:02:00+08:00,Interval.MINUTE,12.69018,0,0,118420.0,118420.01,118266.05,118283.75,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:03:00+08:00,Interval.MINUTE,13.14672,0,0,118283.76,118310.15,118242.39,118242.4,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:04:00+08:00,Interval.MINUTE,7.26569,0,0,118242.39,118266.77,118200.0,118266.77,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:05:00+08:00,Interval.MINUTE,5.23991,0,0,118266.77,118320.0,118266.76,118319.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:06:00+08:00,Interval.MINUTE,16.37252,0,0,118320.0,118342.11,118270.88,118342.1,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:07:00+08:00,Interval.MINUTE,4.73346,0,0,118342.11,118364.0,118314.95,118331.34,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:08:00+08:00,Interval.MINUTE,5.06355,0,0,118331.34,118339.77,118286.26,118286.27,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:09:00+08:00,Interval.MINUTE,2.61901,0,0,118286.27,118299.84,118273.72,118299.84,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:10:00+08:00,Interval.MINUTE,2.94228,0,0,118299.84,118351.04,118299.83,118316.36,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:11:00+08:00,Interval.MINUTE,6.56605,0,0,118316.37,118322.87,118275.51,118322.87,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:12:00+08:00,Interval.MINUTE,4.82728,0,0,118322.87,118336.83,118305.5,118336.83,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:13:00+08:00,Interval.MINUTE,6.67805,0,0,118336.82,118336.83,118261.16,118272.1,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:14:00+08:00,Interval.MINUTE,5.27437,0,0,118272.1,118291.29,118272.1,118284.13,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:15:00+08:00,Interval.MINUTE,5.44557,0,0,118284.13,118284.13,118216.0,118216.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:16:00+08:00,Interval.MINUTE,7.63035,0,0,118216.0,118284.99,118167.26,118284.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:17:00+08:00,Interval.MINUTE,7.52893,0,0,118285.0,118385.0,118284.99,118337.12,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:18:00+08:00,Interval.MINUTE,13.26123,0,0,118337.12,118337.13,118172.19,118172.2,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:19:00+08:00,Interval.MINUTE,8.01498,0,0,118172.19,118172.2,118103.01,118115.15,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:20:00+08:00,Interval.MINUTE,3.97816,0,0,118115.15,118152.73,118103.0,118141.88,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 01:21:00+08:00,Interval.MINUTE,18.60125,0,0,118141.88,118141.88,117971.13,117972.18,BTCUSDT.BINANCE
